Time,ram_usage,cpu_utilization,network_bandwidth,io_bandwidth
23:44:09,47.4,6.2,1914.95,64061.46
23:44:10,77.3,14.5,1914.95,64061.49
23:44:11,77.2,10.9,1914.95,64061.57
23:44:12,77.2,3.7,1914.95,64061.58
23:44:13,77.2,24.3,1914.95,64062.38
23:44:14,77.1,18.7,1914.95,64062.38
23:44:15,77.1,13.2,1914.95,64062.41
23:44:16,77.2,10.7,1914.96,64062.42
23:44:17,77.2,74.4,1914.96,64062.53
23:44:18,77,37.4,1914.96,64062.85
23:44:19,77.1,9.7,1914.98,64063.02
23:44:20,77.1,9.1,1915,64063.06
23:44:21,77.1,10.7,1915,64063.24
23:44:22,77.1,19.9,1915,64063.27
23:44:23,77.1,27.2,1915,64063.5
23:44:24,77.2,11.1,1915.06,64063.69
23:44:25,77.2,9.5,1915.06,64063.69
23:44:26,77.1,47.2,1915.06,64063.73
23:44:27,77.1,47.7,1915.07,64063.85
23:44:28,77.1,47.7,1915.08,64064.07
23:44:29,77.1,18.6,1915.08,64064.16
23:44:30,77.1,25.8,1915.08,64064.19
23:44:32,77.1,9.2,1915.08,64064.22
23:44:33,77.1,6,1915.08,64064.39
23:44:34,77.1,11.6,1915.08,64064.39
23:44:35,77.1,6.2,1915.09,64064.6
23:44:36,77.1,6.5,1915.09,64064.66
23:44:37,77.1,5.2,1915.09,64064.69
23:44:38,77.1,10.9,1915.12,64064.83
23:44:39,77.1,4.8,1915.12,64065.31
23:44:40,77.1,6.2,1915.12,64065.34
23:44:41,77.1,5.9,1915.12,64065.35
23:44:42,77.1,5.1,1915.12,64065.52
23:44:43,77.1,4.9,1915.12,64065.56
23:44:44,77.1,47.8,1915.12,64065.57
23:44:45,77.1,47.1,1915.13,64065.58
23:44:46,77.1,21,1915.13,64065.59
23:44:47,77.1,47.3,1915.13,64065.63
23:44:48,77.1,10.8,1915.14,64066.37
23:44:49,77.1,4.1,1915.14,64066.4
23:44:50,77.1,8,1915.17,64066.4
23:44:51,77.1,8.9,1915.18,64066.55
23:44:52,77.1,10.7,1915.18,64066.85
23:44:53,77.1,3.1,1915.18,64066.94
23:44:54,77.1,3.9,1915.18,64066.95
23:44:55,77.1,5,1915.18,64067.05
23:44:56,77.1,6.6,1915.18,64067.11
23:44:57,77.1,5.6,1915.18,64067.19
23:44:58,77.1,28.2,1915.18,64067.24
23:44:59,77.1,45.5,1915.18,64067.3
23:45:00,77.1,11.6,1915.19,64067.87
23:45:01,77.1,9.9,1915.19,64068.1
23:45:02,77.1,11.4,1915.19,64068.24
23:45:03,77.1,18.4,1915.2,64068.32
23:45:04,77,10.3,1915.2,64068.4
23:45:06,77.1,5.8,1915.2,64068.4
23:45:07,77.1,11.6,1915.21,64068.42
23:45:08,77.1,11.9,1915.21,64068.65
23:45:09,77.1,6.5,1915.23,64068.97
23:45:10,77.1,9,1915.23,64069.12
23:45:11,77.1,10,1915.24,64069.23
23:45:12,77.1,47.6,1915.24,64069.38
23:45:13,77.1,4.5,1915.24,64069.56
23:45:14,77.1,10.6,1915.24,64069.6
